azon;cím;rendezo;hozzaadas_datum;ertekeles;nyelv
10192;Shrek Forever After;Mike Mitchell;2010.05.16;6,38;en
27205;Inception;Christopher Nolan;2010.07.15;8,369;en
12444;Harry Potter and the Deathly Hallows: Part 1;David Yates;2010.11.17;7,744;en
38365;Grown Ups;Dennis Dugan;2010.06.24;6,394;en
24021;The Twilight Saga: Eclipse;David Slade;2010.06.23;6,204;en
38234;Undisputed III: Redemption;Isaac Florentine;2010.04.17;7,517;en
37799;The Social Network;David Fincher;2010.10.01;7,368;en
38055;Megamind;Tom McGrath;2010.10.28;6,999;en
27578;The Expendables;Sylvester Stallone;2010.08.03;6,248;en
23483;Kick-Ass;Matthew Vaughn;2010.03.26;7,122;en
22538;Scott Pilgrim vs. the World;Edgar Wright;2010.08.12;7,491;en
44918;Titanic II;Shane van Dyke;2010.08.07;5;en
43949;Flipped;Rob Reiner;2010.08.06;8,016;en
43347;Love & Other Drugs;Edward Zwick;2010.11.04;7;en
34544;The A-Team;Joe Carnahan;2010.06.09;6,397;en
38167;Eat Pray Love;Ryan Murphy;2010.08.12;6,241;en
27022;The Sorcerer's Apprentice;Jon Turteltaub;2010.07.13;6,117;en
44363;Frozen;Adam Green;2010.02.05;6;en
41439;Saw 3D;Kevin Greutert;2010.10.22;5,989;en
46838;Tucker and Dale vs. Evil;Eli Craig;2010.01.22;7,379;en
41733;Due Date;Todd Phillips;2010.11.03;6,382;en
22907;Takers;John Luessenhop;2010.08.26;6,229;en
40205;16 Wishes;Peter DeLuise;2010.10.02;6,314;en
37710;The Tourist;Florian Henckel von Donnersmarck;2010.12.08;6,183;en
37056;Letters to Juliet;Gary Winick;2010.05.13;7,002;en
23048;Hot Tub Time Machine;Steve Pink;2010.03.26;6;en
47533;Scooby-Doo! Curse of the Lake Monster;Brian Levant;2010.10.16;6,154;en
27579;The American;Anton Corbijn;2010.08.31;6;en
49009;The Way Back;Peter Weir;2010.11.22;7;en
43939;I'm Still Here;Casey Affleck;2010.09.10;6;en
37950;Charlie St. Cloud;Burr Steers;2010.07.30;6,965;en
42684;Skyline;Greg Strause, Colin Strause;2010.11.11;5,013;en
13477;When in Rome;Mark Steven Johnson;2010.01.29;6;en
47626;Legend of the BoneKnapper Dragon;John Puglisi;2010.10.14;6,965;en
39451;Little Fockers;Paul Weitz, Greg Glienna;2010.12.21;5,645;en
27573;The Bounty Hunter;Andy Tennant;2010.03.16;5,855;en
42941;30 Days of Night: Dark Days;Ben Ketai;2010.10.04;5;en
46261;Don't Be Afraid of the Dark;Troy Nixey;2010.11.06;5,775;en
30675;Planet Hulk;Sam Liu;2010.02.02;7;en
29427;The Crazies;Breck Eisner;2010.02.26;6,279;en
23759;Centurion;Neil Marshall;2010.02.15;6,231;en
38745;Gulliver's Travels;Rob Letterman;2010.12.23;5,203;en
40662;Batman: Under the Red Hood;Brandon Vietti;2010.07.27;7,735;en
43641;Superman/Shazam!: The Return of Black Adam;Joaquim Dos Santos;2010.11.16;7;en
31967;Dante's Inferno: An Animated Epic;Lee Seung-Gyu, Victor Cook, Jong-Sik Nam, Mike Disa, Yasuomi Umetsu, Shuko Murase, Sangjin Kim;2010.02.09;6,941;en
32823;Get Him to the Greek;Nicholas Stoller;2010.06.03;6;en
42888;How Do You Know;James L. Brooks;2010.12.17;5,305;en
44603;Hereafter;Clint Eastwood;2010.10.22;6,105;en
35558;Starstruck;Michael Grossman;2010.02.14;7;en
37821;Killers;Robert Luketic;2010.06.04;6;en
49953;A Turtle's Tale: Sammy's Adventures;Ben Stassen;2010.08.04;6,003;en
37757;Never Sleep Again: The Elm Street Legacy;Andrew Kasch, Daniel Farrands;2010.05.04;7,801;en
45657;The Ward;John Carpenter;2010.09.13;5,771;en
43933;Monsters;Gareth Edwards;2010.06.18;6,222;en
45132;Super;James Gunn;2010.11.26;6,538;en
63700;My Babysitter's a Vampire;Bruce McDonald;2010.10.09;7;en
49787;The Reef;Andrew Traucki;2010.05.15;5,677;en
41215;Black Death;Christopher Smith;2010.06.07;6;en
38363;Fair Game;Doug Liman;2010.05.20;6,474;en
43923;It's Kind of a Funny Story;Anna Boden, Ryan Fleck;2010.10.08;7;en
183392;Capturing Avatar;Laurent Bouzereau;2010.11.16;7,217;en
54551;Banana;Kyle Balda, Samuel Tourneux;2010.12.13;7,095;en
46503;All Good Things;Andrew Jarecki;2010.12.03;6;en
101669;Mother's Day;Darren Lynn Bousman;2010.09.23;6,505;en
38303;You Again;Andy Fickman;2010.09.23;6,281;en
37495;Four Lions;Chris Morris;2010.05.07;6,955;en
23830;Last Night;Massy Tadjedin;2010.11.05;6,115;en
41479;The Joneses;Derrick Borte;2010.04.16;6,188;en
59457;Womb;Benedek Fliegauf;2010.07.15;6;en
