271110;Captain America: Civil War;Joe Russo, Anthony Russo;2016. 04. 27;7,444;en
293660;Deadpool;Tim Miller;2016. 02. 09;7,622;en
324786;Hacksaw Ridge;Mel Gibson;2016. 10. 07;8,195;en
259693;The Conjuring 2;James Wan;2016. 06. 08;7,289;en
209112;Batman v Superman: Dawn of Justice;Zack Snyder;2016. 03. 23;6;en
343611;Jack Reacher: Never Go Back;Edward Zwick;2016. 10. 19;5,994;en
335797;Sing;Garth Jennings;2016. 11. 23;7,112;en
47933;Independence Day: Resurgence;Roland Emmerich;2016. 06. 22;5,332;en
300671;13 Hours: The Secret Soldiers of Benghazi;Michael Bay;2016. 01. 14;7,273;en
246655;X-Men: Apocalypse;Bryan Singer;2016. 05. 18;6,512;en
329865;Arrival;Denis Villeneuve;2016. 11. 10;7,609;en
278924;Mechanic: Resurrection;Dennis Gansel;2016. 08. 25;6;en
68735;Warcraft;Duncan Jones;2016. 05. 25;6,38;en
381284;Hidden Figures;Theodore Melfi;2016. 12. 10;8,056;en
397243;The Autopsy of Jane Doe;André Øvredal;2016. 12. 21;6,808;en
278927;The Jungle Book;Jon Favreau;2016. 04. 07;6,865;en
259316;Fantastic Beasts and Where to Find Them;David Yates;2016. 11. 16;7,317;en
310131;The Witch;Robert Eggers;2016. 02. 19;6,978;en
311324;The Great Wall;Zhang Yimou;2016. 12. 16;6;en
330459;Rogue One: A Star Wars Story;Gareth Edwards;2016. 12. 14;7,493;en
302699;Central Intelligence;Rawson Marshall Thurber;2016. 06. 16;6,416;en
43074;Ghostbusters;Paul Feig;2016. 07. 14;5,347;en
333484;The Magnificent Seven;Antoine Fuqua;2016. 09. 14;6,46;en
308531;Teenage Mutant Ninja Turtles: Out of the Shadows;Dave Green;2016. 06. 01;6;en
267935;The BFG;Steven Spielberg;2016. 06. 01;6,276;en
291805;Now You See Me 2;Jon M. Chu;2016. 06. 02;6,825;en
127380;Finding Dory;Andrew Stanton;2016. 06. 16;7,038;en
391757;Never Back Down: No Surrender;Michael Jai White;2016. 06. 07;7;en
324668;Jason Bourne;Paul Greengrass;2016. 07. 27;6,361;en
241259;Alice Through the Looking Glass;James Bobin;2016. 05. 25;6,559;en
363676;Sully;Clint Eastwood;2016. 09. 07;7,196;en
297761;Suicide Squad;David Ayer;2016. 08. 03;5,918;en
262504;Allegiant;Robert Schwentke;2016. 03. 09;6,101;en
313297;Kubo and the Two Strings;Travis Knight;2016. 08. 18;7,633;en
277834;Moana;John Musker, Ron Clements;2016. 10. 13;7,566;en
333371;10 Cloverfield Lane;Dan Trachtenberg;2016. 03. 10;6,991;en
274870;Passengers;Morten Tyldum;2016. 12. 21;6,95;en
300669;Don't Breathe;Fede Álvarez;2016. 06. 08;7;en
334541;Manchester by the Sea;Kenneth Lonergan;2016. 11. 17;7,547;en
308266;War Dogs;Todd Phillips;2016. 08. 18;6,923;en
332567;The Shallows;Jaume Collet-Serra;2016. 06. 24;6,346;en
321258;The Boy;William Brent Bell;2016. 01. 22;6;en
376570;Hush;Mike Flanagan;2016. 03. 12;6,73;en
296524;Deepwater Horizon;Peter Berg;2016. 09. 28;6,877;en
355506;Siren;Gregg Bishop;2016. 12. 02;6;en
271969;Ben-Hur;Timur Bekmambetov;2016. 08. 17;5,746;en
291870;Dirty Grandpa;Dan Mazer;2016. 01. 20;5,927;en
323675;Ride Along 2;Tim Story;2016. 01. 14;6,255;en
377897;Barbie: Spy Squad;Conrad Helten;2016. 01. 15;7;en
306947;The Invitation;Karyn Kusama;2016. 04. 08;6,43;en
207932;Inferno;Ron Howard;2016. 10. 13;6,075;en
146198;Triple 9;John Hillcoat;2016. 02. 19;5,98;en
369885;Allied;Robert Zemeckis;2016. 02. 12;6,794;en
388399;Patriots Day;Peter Berg;2016. 12. 12;7,055;en
335796;Ouija: Origin of Evil;Mike Flanagan;2016. 10. 20;6,132;en
267193;Grimsby;Louis Leterrier;2016. 02. 24;5,95;en
371645;Hunt for the Wilderpeople;Taika Waititi;2016. 03. 31;7,655;en
384664;Goodbye Berlin;Fatih Akin;2016. 09. 15;6,677;de
303858;Money Monster;Jodie Foster;2016. 05. 12;6,435;en
366924;Batman: Bad Blood;Jay Oliva;2016. 01. 19;7;en
293767;Billy Lynn's Long Halftime Walk;Ang Lee;2016. 11. 10;6,028;en
351211;Blair Witch;Adam Wingard;2016. 09. 15;5,219;en
340945;USS Indianapolis: Men of Courage;Mario Van Peebles;2016. 09. 22;5,882;en
335778;Risen;Kevin Reynolds;2016. 02. 18;6,179;en
323677;Race;Stephen Hopkins;2016. 02. 19;7,244;en
328387;Nerve;Henry Joost, Ariel Schulman;2016. 06. 27;7;en
263341;Crouching Tiger, Hidden Dragon: Sword of Destiny;Yuen Woo-Ping;2016. 02. 18;6,111;en
328111;The Secret Life of Pets;Chris Renaud;2016. 06. 18;6,289;en
379291;Justice League vs. Teen Titans;Sam Liu;2016. 03. 26;7,273;en
404378;A Street Cat Named Bob;Roger Spottiswoode;2016. 11. 04;7,912;en
302401;Snowden;Oliver Stone;2016. 09. 15;7,104;en
270487;Hail, Caesar!;Joel Coen, Ethan Coen;2016. 02. 05;5,923;en
302156;Criminal;Ariel Vromen;2016. 04. 07;6,205;en
351339;Anthropoid;Sean Ellis;2016. 08. 12;7,136;en
329440;The Forest;Jason Zada;2016. 01. 07;5,224;en
313922;Green Room;Jeremy Saulnier;2016. 04. 15;6,721;en
341012;Popstar: Never Stop Never Stopping;Jorma Taccone, Akiva Schaffer;2016. 06. 03;6,619;en
408567;Deadly Pickup;Dean McKendrick;2016. 07. 26;5,447;en
353069;Mother's Day;Garry Marshall;2016. 04. 28;6;en
302688;My Big Fat Greek Wedding 2;Kirk Jones;2016. 03. 23;6;en
